table_id,metric,unit_or_denominator,mot17_raw_value,mot17_displayed_value,mot17_manifest_id,kitti_raw_value,kitti_displayed_value,kitti_manifest_id
table-1,Valid events,events,30003,"30,003",mot17.valid_events,1089,"1,089",kitti.valid_events
table-1,Eligible events,events,26960,"26,960",mot17.eligible_events,711,711,kitti.eligible_events
table-1,Represented events,events,26960,"26,960",mot17.represented_events,711,711,kitti.represented_events
table-1,Intentionally suppressed events,events,3043,"3,043",mot17.suppressed_events,378,378,kitti.suppressed_events
table-1,Missed eligible events,events,0,0,mot17.missed_eligible_events,0,0,kitti.missed_eligible_events
table-1,Accounting completeness,valid outcomes / valid events,1.0,"30,003 / 30,003 (100.00%)",mot17.accounting_completeness.rate,1.0,"1,089 / 1,089 (100.00%)",kitti.accounting_completeness.rate
table-1,Eligible-event coverage,represented / eligible,1.0,"26,960 / 26,960 (100.00%)",mot17.eligible_coverage.rate,1.0,711 / 711 (100.00%),kitti.eligible_coverage.rate
table-1,Source-representation rate,represented / valid source events,0.8985768089857681,"26,960 / 30,003 (89.86%)",mot17.source_representation.rate,0.6528925619834711,"711 / 1,089 (65.29%)",kitti.source_representation.rate
table-1,Suppression rate,suppressed / valid source events,0.10142319101423192,"3,043 / 30,003 (10.14%)",mot17.suppression_rate.rate,0.34710743801652894,"378 / 1,089 (34.71%)",kitti.suppression_rate.rate
